scenario,strategy,concurrency,backend_ms,iteration,actual_loads,expected_loads,duplicate_loads,amplification,throughput,p50_ms,p95_ms,p99_ms,max_ms,lock_contentions,unrelated_key_wait_ms,flights_created,coalesced_callers,peak_waiters,ttl_ms,request_count,successful_requests,cache_hits,cache_misses,peak_concurrent_loads,lock_acquisitions,lock_wait_ms,unrelated_key_contentions,coalescing_ratio,b_request_latency_ms,shuffle_seed,wave_offset_ms
HotKeyBurst,NaiveCacheAside,8,100,3,8,1,7,8,79.354530250938865,100.68640000000001,100.7538,100.7538,100.7538,0,0,0,0,0,1000,8,8,0,8,8,0,0,0,0,0,,0
HotKeyBurst,NaiveCacheAside,8,100,4,8,1,7,8,76.938686598915737,103.9436,103.9682,103.9682,103.9682,0,0,0,0,0,1000,8,8,0,8,8,0,0,0,0,0,,0
HotKeyBurst,NaiveCacheAside,8,100,5,8,1,7,8,75.60143302516299,105.72,105.8052,105.8052,105.8052,0,0,0,0,0,1000,8,8,0,8,8,0,0,0,0,0,,0
HotKeyBurst,GlobalLock,8,100,1,1,1,0,1,73.169884007441368,109.2332,109.3017,109.3017,109.3017,7,0,0,0,0,1000,8,8,0,8,1,8,764.63139999999999,0,0,0,,0
HotKeyBurst,GlobalLock,8,100,2,1,1,0,1,74.425043282814244,107.3399,107.39319999999999,107.39319999999999,107.39319999999999,7,0,0,0,0,1000,8,8,0,8,1,8,751.35040000000004,0,0,0,,0
HotKeyBurst,GlobalLock,8,100,3,1,1,0,1,77.921597236900155,102.5594,102.59,102.59,102.59,7,0,0,0,0,1000,8,8,0,8,1,8,717.93989999999997,0,0,0,,0
HotKeyBurst,GlobalLock,8,100,4,1,1,0,1,77.679254589872954,102.8986,102.9659,102.9659,102.9659,7,0,0,0,0,1000,8,8,0,8,1,8,720.30499999999995,0,0,0,,0
HotKeyBurst,GlobalLock,8,100,5,1,1,0,1,77.474486683104175,103.1842,103.20529999999999,103.20529999999999,103.20529999999999,7,0,0,0,0,1000,8,8,0,8,1,8,722.2663,0,0,0,,0
HotKeyBurst,SingleFlight,8,100,1,1,1,0,1,73.427032345525589,108.81319999999999,108.86669999999999,108.86669999999999,108.86669999999999,0,0,1,7,7,1000,8,8,0,8,1,0,0,0,0.875,0,,0
HotKeyBurst,SingleFlight,8,100,2,1,1,0,1,78.879205370885103,101.3604,101.41289999999999,101.41289999999999,101.41289999999999,0,0,1,7,7,1000,8,8,0,8,1,0,0,0,0.875,0,,0
HotKeyBurst,SingleFlight,8,100,3,1,1,0,1,73.744409251973579,108.4126,108.4736,108.4736,108.4736,0,0,1,7,7,1000,8,8,0,8,1,0,0,0,0.875,0,,0
HotKeyBurst,SingleFlight,8,100,4,1,1,0,1,73.313245504065222,109.0586,109.10980000000001,109.10980000000001,109.10980000000001,0,0,1,7,7,1000,8,8,0,8,1,0,0,0,0.875,0,,0
HotKeyBurst,SingleFlight,8,100,5,1,1,0,1,72.24252538195978,110.68680000000001,110.70480000000001,110.70480000000001,110.70480000000001,0,0,1,7,7,1000,8,8,0,8,1,0,0,0,0.875,0,,0
HotKeyBurst,NaiveCacheAside,16,100,1,16,1,15,16,147.25873267293929,108.5398,108.5903,108.5903,108.5903,0,0,0,0,0,1000,16,16,0,16,16,0,0,0,0,0,,0
HotKeyBurst,NaiveCacheAside,16,100,2,16,1,15,16,157.39975603037814,101.5856,101.64239999999999,101.64239999999999,101.64239999999999,0,0,0,0,0,1000,16,16,0,16,16,0,0,0,0,0,,0
HotKeyBurst,NaiveCacheAside,16,100,3,16,1,15,16,158.25288811520809,100.974,101.036,101.036,101.036,0,0,0,0,0,1000,16,16,0,16,16,0,0,0,0,0,,0
HotKeyBurst,NaiveCacheAside,16,100,4,16,1,15,16,157.80960271432517,101.34099999999999,101.372,101.372,101.372,0,0,0,0,0,1000,16,16,0,16,16,0,0,0,0,0,,0
HotKeyBurst,NaiveCacheAside,16,100,5,16,1,15,16,158.72795417523963,100.607,100.6932,100.6932,100.6932,0,0,0,0,0,1000,16,16,0,16,16,0,0,0,0,0,,0
HotKeyBurst,GlobalLock,16,100,1,1,1,0,1,157.65488360635547,101.39239999999999,101.4141,101.4141,101.4141,15,0,0,0,0,1000,16,16,0,16,1,16,1520.8602000000001,0,0,0,,0
HotKeyBurst,GlobalLock,16,100,2,1,1,0,1,157.54606253003223,101.4943,101.5286,101.5286,101.5286,15,0,0,0,0,1000,16,16,0,16,1,16,1522.4042999999999,0,0,0,,0
HotKeyBurst,GlobalLock,16,100,3,1,1,0,1,157.67834406203065,101.3879,101.44029999999999,101.44029999999999,101.44029999999999,15,0,0,0,0,1000,16,16,0,16,1,16,1520.8505,0,0,0,,0
HotKeyBurst,GlobalLock,16,100,4,1,1,0,1,153.3513009940998,104.21850000000001,104.2372,104.2372,104.2372,15,0,0,0,0,1000,16,16,0,16,1,16,1563.2834,0,0,0,,0
HotKeyBurst,GlobalLock,16,100,5,1,1,0,1,157.64525285805917,101.3556,101.39279999999999,101.39279999999999,101.39279999999999,15,0,0,0,0,1000,16,16,0,16,1,16,1520.1968999999999,0,0,0,,0
HotKeyBurst,SingleFlight,16,100,1,1,1,0,1,148.55861008564403,107.535,107.61660000000001,107.61660000000001,107.61660000000001,0,0,1,15,15,1000,16,16,0,16,1,0,0,0,0.9375,0,,0
HotKeyBurst,SingleFlight,16,100,2,1,1,0,1,151.08978227018065,105.8404,105.8775,105.8775,105.8775,0,0,1,15,15,1000,16,16,0,16,1,0,0,0,0.9375,0,,0
HotKeyBurst,SingleFlight,16,100,3,1,1,0,1,149.87040893077767,106.65779999999999,106.7388,106.7388,106.7388,0,0,1,15,15,1000,16,16,0,16,1,0,0,0,0.9375,0,,0
HotKeyBurst,SingleFlight,16,100,4,1,1,0,1,149.87841113896351,106.5937,106.7111,106.7111,106.7111,0,0,1,15,15,1000,16,16,0,16,1,0,0,0,0.9375,0,,0
HotKeyBurst,SingleFlight,16,100,5,1,1,0,1,144.56194117774612,110.49160000000001,110.6302,110.6302,110.6302,0,0,1,15,15,1000,16,16,0,16,1,0,0,0,0.9375,0,,0
HotKeyBurst,NaiveCacheAside,32,100,1,32,1,31,32,298.24093766950801,107.1739,107.2205,107.2496,107.2496,0,0,0,0,0,1000,32,32,0,32,32,0,0,0,0,0,,0
HotKeyBurst,NaiveCacheAside,32,100,2,32,1,31,32,307.78789951109815,103.7961,103.82729999999999,103.9298,103.9298,0,0,0,0,0,1000,32,32,0,32,32,0,0,0,0,0,,0
HotKeyBurst,NaiveCacheAside,32,100,3,32,1,31,32,310.05498631397916,103.1075,103.126,103.17189999999999,103.17189999999999,0,0,0,0,0,1000,32,32,0,32,32,0,0,0,0,0,,0
HotKeyBurst,NaiveCacheAside,32,100,4,32,1,31,32,300.34793431015243,106.4889,106.5069,106.53489999999999,106.53489999999999,0,0,0,0,0,1000,32,32,0,32,32,0,0,0,0,0,,0
HotKeyBurst,NaiveCacheAside,32,100,5,32,1,31,32,288.49569330022848,110.7457,110.8331,110.84739999999999,110.84739999999999,0,0,0,0,0,1000,32,32,0,32,32,0,0,0,0,0,,0
HotKeyBurst,GlobalLock,32,100,1,1,1,0,1,306.23738565143867,104.1887,104.32940000000001,104.3706,104.3706,31,0,0,0,0,1000,32,32,0,32,1,32,3230.3800999999999,0,0,0,,0
HotKeyBurst,GlobalLock,32,100,2,1,1,0,1,302.80663903556086,105.5295,105.53879999999999,105.5532,105.5532,31,0,0,0,0,1000,32,32,0,32,1,32,3271.3816999999999,0,0,0,,0
HotKeyBurst,GlobalLock,32,100,3,1,1,0,1,307.88147717684228,103.8045,103.86750000000001,103.8685,103.8685,31,0,0,0,0,1000,32,32,0,32,1,32,3217.8944999999999,0,0,0,,0
HotKeyBurst,GlobalLock,32,100,4,1,1,0,1,299.83855567767728,106.62179999999999,106.65689999999999,106.6574,106.6574,31,0,0,0,0,1000,32,32,0,32,1,32,3305.3912999999998,0,0,0,,0
HotKeyBurst,GlobalLock,32,100,5,1,1,0,1,300.9207233758039,106.3081,106.3135,106.3135,106.3135,31,0,0,0,0,1000,32,32,0,32,1,32,3294.6244999999999,0,0,0,,0
HotKeyBurst,SingleFlight,32,100,1,1,1,0,1,288.19585790503226,110.9365,110.9696,110.9845,110.9845,0,0,1,31,31,1000,32,32,0,32,1,0,0,0,0.96875,0,,0
